id_annonce,property_type,approximate_latitude,approximate_longitude,city,postal_code,size,floor,land_size,energy_performance_value,energy_performance_category,ghg_value,ghg_category,exposition,nb_rooms,nb_bedrooms,nb_bathrooms,nb_parking_places,nb_boxes,nb_photos,has_a_balcony,nb_terraces,has_a_cellar,has_a_garage,has_air_conditioning,last_floor,upper_floors,price
13687635,villa,43.59546188,7.113427921,antibes,6600,350,,1500,181,D,11,C,,10,6,,1,0,7,0,1,0,1,0,0,0,1220000
13843279,appartement,43.60488969,3.860693418,montpellier,34000,89,2,,117,C,26,D,,3,2,1,0,0,9,0,0,0,0,0,0,0,378000
14133737,maison,48.83563278,4.977178311,revigny-sur-ornain,55800,93,,1364,,,,,,5,3,1,0,0,10,0,0,0,1,0,0,0,100000
14200281,appartement,43.83165371,4.351394556,nimes,30000,83,,,152,D,15,C,,3,2,1,0,0,6,0,0,0,0,0,0,0,184000
14602309,terrain,50.06445443,1.860238937,epagne-epagnette,80580,1100,,1100,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,60500
14787963,appartement,43.42731361,4.951949706,fos-sur-mer,13270,70,1,,136,C,3,A,,4,2,1,0,0,19,0,1,0,0,1,0,0,219400
14952615,terrain,43.76374962,-0.570144163,saint-sever,40500,1747,,1747,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,0,25000
14964029,maison,46.96691366,-0.22274365,thouars,79100,72,,,92,C,,,,4,2,,0,0,10,0,0,1,1,0,0,0,64200
14964225,maison,47.007579,0.083477942,loudun,86200,125,,,229,D,,,,8,5,,0,0,10,0,0,1,1,0,0,0,95000
14964477,maison,47.1108673,0.415245855,l'ile-bouchard,37220,200,,,121,C,,,,7,5,,0,0,10,0,1,0,1,0,0,0,397000
14964943,maison,46.968399,0.182498235,la-roche-rigault,86200,100,,,,,,,,6,4,,1,0,10,0,1,1,1,0,0,0,96000
14965103,maison,46.9712792,-0.225577727,thouars,79100,90,,,164,D,,,,4,3,,0,0,7,0,1,1,0,0,0,0,68500
14965115,maison,47.00735844,0.318718695,richelieu,37120,205,,,250,E,,,,11,5,,0,0,10,0,0,1,1,0,0,0,190000
15012687,maison,46.98789662,-0.444534935,argenton-les-vallees,79150,94,,,,,,,,5,3,,0,0,10,0,0,1,0,0,0,0,60000
15073565,maison,46.95376683,-0.195910216,misse,79100,165,,,181,D,,,,8,5,,0,0,10,0,0,1,1,0,0,0,141600
15079067,maison,49.38124615,3.332286671,soissons,2200,70,,281,270,E,8,B,,3,2,1,0,0,5,0,1,1,0,0,0,0,118450
15120195,maison,47.00949456,-0.336166718,massais,79150,75,,1043,399,F,,,,5,2,,0,0,10,0,0,0,1,0,0,0,91000
15122759,villa,43.26921211,3.165467223,lespignan,34710,100,,217,,,,,,5,4,,1,0,7,0,1,0,1,0,0,0,247500
15140945,maison,46.78593376,0.175901143,mirebeau,86110,185,,,180,D,,,,8,4,,0,0,10,0,0,1,1,0,0,0,183000
15165335,maison,46.98176747,-0.447626492,argenton-les-vallees,79150,94,,,,,,,,5,3,,0,0,10,0,0,1,0,0,0,0,60000
15183049,maison,47.24655222,0.220111358,la-chapelle-sur-loire,37140,210,,,205,D,,,,7,4,,0,0,10,0,1,0,0,0,0,0,270000
15214959,appartement,49.04908189,3.391844484,chateau-thierry,2400,40,,,249,E,13,C,,2,1,1,0,0,4,0,0,0,0,0,0,0,68000
15220905,maison,46.78955674,0.186374424,mirebeau,86110,185,,,180,D,,,,8,4,,0,0,10,0,0,1,1,0,0,0,183000
15220933,maison,47.01297953,0.319763402,richelieu,37120,100,,,,,,,,4,3,,0,0,10,0,0,0,1,0,0,0,106500
15251091,maison,46.97752328,-0.265848438,mauze-thouarsais,79100,97,,,106,C,,,,4,3,,0,0,7,0,0,0,1,0,0,0,127200
15251295,maison,47.0051229,-0.344941307,massais,79150,75,,1043,399,F,,,,5,2,,0,0,10,0,0,0,1,0,0,0,91000
15300815,maison,46.61127004,-0.411383264,secondigny,79130,145,,2633,268,E,16,C,,9,4,1,0,0,17,0,0,0,0,0,0,0,205920
15321629,maison,46.96328525,-0.215651809,thouars,79100,95,,,169,D,,,,5,4,,0,0,10,0,0,0,1,0,0,0,85500
15372633,maison,47.01510508,-0.214421322,sainte-verge,79100,68,,,166,D,,,,4,3,,0,0,7,0,0,1,0,0,0,0,33500
15372691,terrain,47.44368388,0.316657818,savigne-sur-lathan,37340,1800,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,45000
15389469,maison,46.81421561,0.54917322,chatellerault,86100,13357,,,125,C,,,,6,4,,1,0,10,0,1,0,0,0,0,0,269000
15406881,maison,47.07874356,-0.283023492,bouille-loretz,79290,67,,,199,D,,,,5,3,,0,0,6,0,0,0,0,0,0,0,48500
15406925,maison,46.98351099,-0.273214497,mauze-thouarsais,79100,97,,,106,C,,,,4,3,,0,0,7,0,0,0,1,0,0,0,127200
15448729,maison,47.3375172,0.083315093,la-breille-les-pins,49390,125,,,300,E,,,,3,2,,0,0,10,0,1,0,0,0,0,0,179000
15498393,maison,46.96887749,-0.221356047,thouars,79100,95,,,169,D,,,,5,4,,0,0,10,0,0,0,1,0,0,0,85500
15539001,maison,47.01370927,0.076561968,loudun,86200,80,,,,,,,,4,2,,0,0,10,0,0,1,1,0,0,0,90000
15592679,divers,46.96166466,-0.212699985,thouars,79100,3473,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,74900
15728603,maison,47.01028994,0.086696918,loudun,86200,75,,,,,,,,4,2,,0,0,10,0,1,0,0,0,0,0,89500
15780039,maison,47.258442,-0.088529711,saumur,49400,101,,,62,B,,,,6,4,,0,0,9,0,1,0,1,0,0,0,171900
15843341,appartement,43.58146924,7.117996625,antibes,6600,12,,,,,,,,1,1,,0,0,6,0,0,0,0,0,0,0,76500
16090705,appartement,41.6746113,9.319521191,lecci,20137,97,,164,,,,,,4,3,1,1,0,2,0,1,0,0,0,0,0,606000
16234457,maison,45.63069115,-1.018934668,royan,17200,101,,395,175,D,2,A,,4,3,1,0,0,15,0,0,0,1,0,0,0,379800
16465931,maison,46.96060823,-0.213250638,thouars,79100,155,,,253,E,,,,9,4,,0,0,10,0,1,1,1,0,0,0,124000
16607283,maison,46.96316381,-0.208932663,thouars,79100,155,,,253,E,,,,9,4,,0,0,10,0,1,1,1,0,0,0,124000
16881697,appartement,48.8741606,2.320595494,paris-8eme,75008,100,3,3,180,D,26,D,Est,3,2,1,0,0,20,0,0,1,0,0,0,0,1445000
16956857,maison,48.95370115,3.132799864,la-ferte-sous-jouarre,77260,9193,,738,320,E,18,C,,4,3,1,0,0,16,0,0,0,0,0,0,0,191000
17016147,appartement,48.88675432,2.323416158,paris-17eme,75017,98,1,,180,D,34,D,Sud,4,2,1,0,0,10,0,0,1,0,0,0,0,1095000
17205039,terrain à bâtir,44.69672037,5.485274336,chatillon-en-diois,26410,,,,,,,,,0,0,0,0,0,3,0,1,0,0,0,0,0,72660
17499187,maison,48.14925585,-3.37559667,plouray,56770,2600,,,,,,,,13,10,,0,0,9,0,0,0,0,0,0,0,225500
17670947,maison,48.682688,2.969853546,rozay-en-brie,77540,175,,1962,269,E,12,C,,5,3,1,0,0,13,0,0,0,0,0,0,0,288000
17706407,terrain,48.94579978,3.134317092,la-ferte-sous-jouarre,77260,571,,571,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,77500
17822729,maison,44.57061106,4.748079542,montelimar,26200,255,,1933,244,E,67,F,,12,6,,0,0,9,0,1,0,0,0,0,0,430000
17910959,maison,47.28204954,-2.393038709,la-baule,44500,180,,465,202,D,47,E,,6,4,1,0,0,1,0,0,0,0,0,0,0,1248000
17970357,maison,43.89788615,0.767802438,saint-clar,32380,250,,5300,,,,,,4,2,,0,1,12,0,0,0,0,0,0,0,140000
17970361,divers,43.93221864,0.614840734,lectoure,32700,600,,3000,,,,,,10,4,,0,1,8,0,0,0,0,0,0,0,185000
17970379,maison,44.00467008,0.774393889,miradoux,32340,215,,150,322,E,17,C,,10,5,1,0,1,8,0,1,0,0,0,0,0,264950
17970391,maison,43.98050443,0.490666187,la-romieu,32480,285,,7300,282,E,17,C,,8,4,,0,1,8,0,0,0,0,0,0,0,398000
18184505,maison,44.00293853,0.768404533,miradoux,32340,200,,12000,,,,,,8,4,1,0,1,10,0,1,0,1,0,0,0,374000
18221933,appartement,50.34811265,3.536230298,valenciennes,59300,4443,,,309,E,10,B,,2,1,1,0,0,9,0,0,0,0,0,0,0,69200
18277557,villa,43.78605053,4.089096838,sommieres,30250,170,,3221,77,B,3,A,,5,4,1,0,0,22,0,0,0,0,0,0,0,699000
18595361,appartement,48.24460466,-4.495184249,crozon,29160,34,1,,231,E,6,B,Sud-Ouest,2,1,1,0,0,10,0,0,0,0,0,0,0,60910
18794819,propriété,43.96440908,0.355909419,condom,32100,640,,100000,,,,,,15,8,1,0,1,5,0,0,0,1,0,0,0,945000
19142531,maison,49.44407942,2.650335986,estrees-saint-denis,60190,125,,725,154,D,,,,5,3,1,0,0,8,0,0,0,1,0,0,0,272000
19187645,terrain,45.863088,6.612432999,megeve,74120,1100,,1100,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,2100000
19599491,appartement,45.66782922,5.892614086,tresserve,73100,66,3,,,,,,Ouest-Est,3,2,,0,0,1,0,0,0,0,0,0,0,284211
19661931,maison,46.94489725,-0.462099241,la-coudre,79150,140,,,,,,,,4,3,,0,0,8,0,0,0,0,0,0,0,64200
19733553,maison,49.29945701,0.870174643,bourgtheroulde-infreville,27520,150,,3000,,,,,,1,,,0,0,3,0,0,0,0,0,0,0,79900
19963137,maison,46.3346232,2.60797305,montlucon,3100,103,,,,,,,,2,1,,0,0,7,0,0,0,0,0,0,0,61000
20051837,maison,47.01329481,0.089115302,loudun,86200,94,,,342,F,,,,5,3,,0,0,10,0,1,1,1,0,0,0,75000
20153187,appartement,43.59045557,7.116774673,antibes,6600,6006,,,145,C,34,D,,3,2,,1,0,9,0,1,0,0,0,0,0,215000
20236749,maison,44.07085425,4.72704444,saint-genies-de-comolas,30150,250,,2412,80,B,4,A,,10,7,1,0,0,9,0,0,0,0,0,0,0,550000
20458825,maison,45.95283916,2.051875932,saint-michel-de-veisse,23480,105,,,,,,,,4,2,,0,0,19,0,0,0,0,0,0,0,44000
20468513,viager,43.62917769,-0.69237471,brassempouy,40330,74,,1773,106,C,4,A,,3,2,,0,0,12,0,0,0,0,1,0,0,101760
20479169,maison,48.16133721,6.793097215,granges-sur-vologne,88640,280,,206,,,,,,10,4,,0,0,9,0,0,0,0,0,0,0,130000
20502693,divers,45.81589762,0.816040014,rochechouart,87600,74591,,,,,,,,,6,,0,0,16,0,0,0,1,0,0,0,213700
20600173,château,46.11090313,3.077898294,ebreuil,3450,800,,408523,,,,,Est-Ouest,26,7,1,0,1,10,0,0,1,0,0,0,0,1490000
20658055,appartement,43.53466254,5.429312233,aix-en-provence,13100,30,,,,,,,,1,,1,1,0,10,0,1,0,0,0,0,0,99000
20894563,maison,42.94552333,0.974046567,buzan,9800,80,,,,,,,Sud,3,2,,0,0,16,0,0,0,0,0,0,0,35000
20894597,maison,42.96018791,1.175388204,encourtiech,9200,160,,878,263,E,56,F,Sud-Est,5,3,1,0,1,20,0,0,0,0,0,0,0,124000
21017825,villa,43.92757183,0.618067731,lectoure,32700,90,,1978,87,B,2,A,,4,3,1,0,1,13,0,0,0,0,0,0,0,148400
21138191,maison,43.93502176,0.622695876,lectoure,32700,750,,35000,72,B,16,C,,12,7,1,0,1,11,0,1,0,0,0,0,0,1350000
21208503,maison,43.97646659,5.780916747,forcalquier,4300,183,,5635,298,E,18,C,Sud,7,5,1,0,0,30,0,1,1,0,0,0,0,380000
21407191,terrain,46.30342378,1.674139698,dun-le-palestel,23800,9808,,,4264,G,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,30000
21407199,maison,47.12404389,1.848576541,gracay,18310,160,,1100,2878,G,,,,6,4,1,0,0,8,0,1,0,0,0,0,0,128000
21407215,terrain,47.02188435,0.597615223,la-celle-saint-avant,37160,1562,,,45,A,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,25000
21407223,maison,46.29636312,1.667390923,dun-le-palestel,23800,122,,290,4266,G,,,,7,3,,0,0,5,0,0,0,0,0,0,0,83500
21407239,terrain,47.01964852,0.60298154,la-celle-saint-avant,37160,1474,,,46,A,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,25000
21407245,maison,46.72706432,2.509105242,saint-amand-montrond,18200,46,,2074,3562,G,,,,2,1,1,0,0,6,0,0,0,0,0,0,0,52500
21407309,terrain,46.7187343,2.50207495,saint-amand-montrond,18200,7914,,,3568,G,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,35000
21407317,maison,46.99608474,2.255769444,saint-florent-sur-cher,18400,210,,754,,,,,,8,4,1,0,0,9,0,1,0,0,0,0,0,249000
21407347,maison,47.07074428,1.820178685,vatan,36150,102,,1800,,,4834,G,,5,4,,0,0,9,0,0,0,0,0,0,0,77000
21407415,maison,47.25850034,0.471205057,azay-le-rideau,37190,102,,,,,,,,4,3,1,0,0,9,0,0,0,0,0,0,0,102300
21407463,terrain,47.1580451,2.241952992,allouis,18500,5400,,,3210,G,,,,0,0,0,0,0,3,0,0,0,0,0,0,0,110000
21407547,terrain,47.15263401,2.213656521,mehun-sur-yevre,18500,3000,,3000,3243,G,,,,0,1,0,0,0,3,0,0,0,0,0,0,0,66000
21407595,maison,47.32647114,2.834739185,sancerre,18300,103,,,3401,G,,,,6,5,1,0,0,9,0,0,0,0,0,0,0,82000
21407629,maison,47.33457673,2.839440338,sancerre,18300,60,,950,,,3403,G,,2,1,,0,0,9,0,0,0,0,0,0,0,37000
21407637,terrain,46.81020118,1.215500617,mezieres-en-brenne,36290,16439,,,4685,G,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,70000
21407671,maison,46.03285498,2.499997476,auzances,23700,65,,262,,,,,,4,2,1,0,0,9,0,0,0,0,0,0,0,35000
21434561,divers,45.35444205,5.49844083,rives-sur-fure,38140,40,,,,,,,,,,,0,0,4,0,0,0,0,0,0,0,65000
21434925,maison,45.38129848,5.539224943,la-murette,38140,180,,550,168,D,39,E,Sud,8,4,1,1,0,10,0,0,0,0,0,0,0,365000
21434931,divers,45.33290648,5.5594504,moirans,38430,33,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,75000
21515815,maison,47.48004099,-2.155290329,missillac,44780,130,,1800,419,F,98,G,,4,3,1,0,0,13,0,0,0,0,0,0,0,262000
21561813,maison,47.60655767,6.463875981,gouhenans,70110,105,,203,,,,,Sud-Ouest,6,4,1,0,1,6,0,1,0,0,0,0,0,107000
21615711,divers,49.26419063,2.483527306,creil,60100,,,,294,E,71,F,,,,,0,0,2,0,0,0,0,0,0,0,199000
21641191,viager,48.63202297,-1.504780898,le-mont-saint-michel,50170,115,,984,198,D,7,B,,4,3,,0,0,12,0,0,0,0,0,0,0,90900
21795437,manoir,49.00647283,0.149471793,livarot,14140,400,,18000,242,E,13,C,,21,11,1,0,0,9,0,0,0,0,0,0,0,472500
21813465,appartement,43.58925503,7.123885881,antibes,6600,65,2,,,,,,,3,2,,0,0,8,0,0,1,1,0,0,0,219000
21875277,maison,49.30118289,2.453124998,laigneville,60290,130,,600,294,E,71,F,,6,4,1,0,0,9,0,0,0,0,0,0,0,279900
21986587,maison,43.36734521,0.193327326,estampures,65220,190,,3360,,,,,,6,4,1,1,0,10,0,0,0,0,0,0,0,300000
22179229,terrain,49.22894781,-0.82241582,le-tronquay,14490,568,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,45000
22179955,terrain,49.27586145,-0.700635589,bayeux,14400,515,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,44750
22233199,terrain à bâtir,48.02067577,-4.601231455,primelin,29770,1590,,1590,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,58850
22478305,terrain,45.02001981,5.309015787,saint-jean-en-royans,26190,1200,,1200,,,,,,0,0,0,0,0,4,0,0,0,0,0,0,0,55000
22627731,appartement,48.87632716,2.320831949,paris-8eme,75008,131,4,,350,F,80,F,Sud,4,3,1,0,0,20,0,0,1,0,0,0,0,1750000
22651161,appartement,48.88461712,2.335713382,paris-17eme,75017,76,2,,140,C,18,C,Sud,3,2,1,0,0,20,1,0,1,0,0,0,0,1150000
22729585,maison,43.80373,5.066349774,cheval-blanc,84460,220,,5000,147,C,6,B,Sud,8,4,1,1,0,14,0,1,0,1,0,0,0,858000
22740651,divers,43.6159957,3.879145877,montpellier,34000,387,,,,,,,,13,12,,0,0,6,0,0,0,0,0,0,0,1040000
22757559,divers,46.16143571,-1.147695599,la-rochelle,17000,3336,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,892500
22914279,maison,49.53391002,3.591712913,chivy-les-etouvelles,2000,143,,800,,,,,,4,2,,1,0,3,0,0,0,0,0,0,0,75900
22965113,appartement,48.66333353,2.351602654,savigny-sur-orge,91600,81,3,,,,,,,4,3,,0,0,3,0,0,0,0,0,0,0,245000
22991583,maison,48.02702273,3.305591223,saint-julien-du-sault,89330,95,,,272,E,8,B,,3,2,1,0,0,8,0,0,0,0,0,0,0,91000
23023943,maison,47.15789879,1.999587907,massay,18120,190,,,73,B,3,A,,6,5,1,0,1,15,0,0,0,0,0,0,0,236000
23081415,appartement,43.59019183,7.114461869,antibes,6600,682,,,209,D,6,B,Est-Ouest,1,1,1,0,0,3,0,0,0,0,0,0,0,70000
23091999,maison,48.95319311,3.132825318,la-ferte-sous-jouarre,77260,100,,1800,,,,,,2,1,,0,0,3,0,0,0,0,0,0,0,128000
23211519,maison,47.67986567,2.625982808,gien,45500,170,,286,249,E,46,E,,7,3,1,0,1,12,0,1,1,0,0,0,0,167000
23211527,terrain à bâtir,47.68840828,2.626727246,gien,45500,1029,,1029,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,35000
23211533,terrain à bâtir,45.92291754,5.392184113,torcieu,1230,479,,479,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,50000
23233759,appartement,43.07462524,5.938191977,saint-mandrier-sur-mer,83430,74,1,,130,C,30,D,,4,3,1,1,0,10,1,1,1,0,0,0,0,299000
23233761,maison,47.68627303,2.624755411,gien,45500,82,,640,134,C,22,D,,4,2,1,0,0,9,0,0,0,0,0,0,0,112000
23233775,maison,47.62541486,2.726575546,briare,45250,90,,91,445,F,109,G,,4,3,1,0,0,8,0,0,0,0,0,0,0,66000
23233787,maison,47.62470789,2.735497809,briare,45250,140,,3195,220,D,31,D,,7,4,1,0,0,10,0,1,0,0,0,0,0,176000
23233823,maison,47.69039816,2.632544038,gien,45500,117,,3163,89,B,21,D,,6,3,1,0,1,10,0,0,0,0,0,0,0,240000
23257341,maison,43.5880823,5.85304257,esparron,83560,100,,,,,,,Sud-Nord,5,4,1,0,0,9,0,0,0,0,0,0,0,120000
23257427,maison,45.96219857,5.365246629,amberieu-en-bugey,1500,65,,244,234,E,12,C,,3,2,1,0,0,6,0,1,0,0,0,0,0,158000
23257457,terrain à bâtir,47.71409109,2.580975149,nevoy,45500,893,,893,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,34000
23257463,terrain à bâtir,46.07903238,5.361777965,neuville-sur-ain,1160,5000,,5000,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,309000
23257465,appartement,45.84257346,5.049716108,montluel,1120,100,4,,111,C,26,D,,5,4,1,0,0,9,0,0,0,0,0,0,0,149000
23257467,terrain à bâtir,46.05248659,5.324543807,pont-d'ain,1160,558,,558,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,68000
23273883,terrain,45.53270681,4.906870058,pont-eveque,38780,921,,921,,,,,,0,0,0,1,0,6,0,0,0,0,0,0,0,54000
23274691,maison,47.69140731,2.630497776,gien,45500,110,,1878,261,E,52,E,,5,3,1,0,1,9,0,0,0,0,0,0,0,127000
23274709,terrain à bâtir,47.68697466,2.630614324,gien,45500,1048,,1048,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,41000
23354605,appartement,45.84617354,5.044296561,montluel,1120,100,4,,111,C,26,D,,5,4,1,0,1,9,0,0,1,0,0,0,0,159000
23354631,maison,47.68686752,2.622167639,gien,45500,170,,286,249,E,46,E,,7,3,1,0,1,12,0,1,1,0,0,0,0,167000
23354641,terrain à bâtir,47.68496069,2.63025406,gien,45500,1029,,1029,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,35000
23376923,maison,47.69070438,2.631635386,gien,45500,123,,954,366,F,67,F,,6,4,1,0,1,10,0,1,0,0,0,0,0,209000
23376977,maison,47.68551416,2.62937042,gien,45500,117,,3163,89,B,21,D,,6,3,1,0,1,10,0,0,0,0,0,0,0,240000
23398285,maison,43.58793316,5.846380287,esparron,83560,100,,,,,,,Sud-Nord,5,4,1,0,0,9,0,0,0,0,0,0,0,120000
23398369,terrain à bâtir,47.71085835,2.57743791,nevoy,45500,893,,893,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,34000
23398373,terrain à bâtir,46.04955289,5.338338297,pont-d'ain,1160,788,,788,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,85000
23398379,terrain à bâtir,46.0767459,5.372385991,neuville-sur-ain,1160,5000,,5000,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,309000
23398381,appartement,45.84638509,5.047207446,montluel,1120,100,4,,111,C,26,D,,5,4,1,0,0,9,0,0,0,0,0,0,0,149000
23398383,terrain à bâtir,46.05175826,5.326709405,pont-d'ain,1160,558,,558,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,68000
23419063,maison,47.69472537,2.628105338,gien,45500,110,,1878,261,E,52,E,,5,3,1,0,1,9,0,0,0,0,0,0,0,127000
23419095,terrain à bâtir,47.69364362,2.623974391,gien,45500,1048,,1048,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,41000
23431173,terrain,44.81095246,1.54236313,cales,46350,5000,,5000,,,,,,0,0,0,0,0,5,0,0,0,0,0,0,0,39600
23439695,maison,48.23054828,3.563235311,villeneuve-l'archeveque,89190,115,,,205,D,34,D,,5,3,1,0,1,11,0,1,0,0,0,0,0,81000
23468865,appartement,48.88435218,2.32114876,paris-17eme,75017,28,,,140,C,18,C,,2,1,1,0,0,14,0,0,0,0,0,0,0,365000
23468867,appartement,48.83738838,2.394142078,paris-12eme,75012,178,5,,140,C,18,C,Sud-Est,6,4,1,0,0,20,1,0,1,0,0,0,0,1970000
23468871,appartement,48.84203186,2.384451374,paris-12eme,75012,175,5,,140,C,18,C,Sud-Ouest,7,4,1,0,0,20,1,0,1,0,0,0,0,1790000
23475041,appartement,48.88361321,2.326528836,paris-17eme,75017,73,3,,,,,,,4,2,,0,0,6,0,0,1,0,0,0,0,875000
23480275,appartement,48.88099859,2.318985236,paris-17eme,75017,167,2,25,180,D,40,E,,5,4,1,0,1,20,1,0,1,0,0,0,0,1890000
23562325,appartement,45.82399916,4.903119009,rillieux-la-pape,69140,86,,,72,B,10,B,,4,3,,0,0,5,0,1,0,0,0,0,0,239000
23571105,maison,49.26681927,1.883317853,chaumont-en-vexin,60240,119,,969,,,,,,6,4,1,0,0,9,0,0,0,0,0,0,0,210000
23797247,appartement,43.70392649,7.247263429,nice,6300,51,4,,236,E,11,C,,3,2,1,0,0,8,0,0,0,0,0,0,0,229000
23798343,appartement,49.59512796,3.003070167,noyon,60400,4248,,,311,E,45,E,,2,1,1,1,0,9,0,0,0,0,0,0,0,76900
23818725,maison,46.03768109,6.626097338,araches-la-frasse,74300,550,,914,152,D,45,E,,15,12,,1,0,10,1,1,1,0,0,0,0,995000
23916647,maison,46.30984819,-0.470443003,niort,79000,388,,27044,83,B,5,A,,10,5,1,0,1,10,0,0,0,0,0,0,0,508800
24019409,appartement,48.89748295,2.296708033,clichy,92110,140,7,,,,,,Ouest,7,5,1,0,1,12,0,1,1,0,1,0,0,1196000
24076993,viager,43.466528,6.185011977,carces,83570,358,,1707,4,A,4,A,,14,11,,0,0,11,0,0,1,0,0,0,0,554625
24130663,maison,47.01793064,0.319667047,richelieu,37120,68,,,,,,,,4,3,,0,0,10,0,0,0,1,0,0,0,135000
24172529,maison,46.11459879,1.061046013,bellac,87300,142,,,202,D,44,E,,7,4,1,0,0,7,0,0,1,0,0,0,0,36480
24196413,maison,47.9220394,-4.117035704,gouesnach,29950,181,,281,,,,,,6,3,1,0,0,16,0,0,0,0,0,0,0,168400
24231449,appartement,43.12950036,5.849304619,ollioules,83190,90,2,,229,D,7,B,,4,3,1,0,0,4,0,0,0,0,0,0,0,229000
24238663,maison,48.20012767,3.282382405,sens,89100,114,,907,207,D,10,B,,4,3,1,0,1,9,0,1,0,0,0,0,0,210000
24238673,divers,45.06305356,4.834840568,tournon-sur-rhone,7300,30,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,70000
24238755,divers,45.11574009,4.997227645,saint-donat-sur-l'herbasse,26260,269,,,,,,,,,,,0,0,6,0,0,0,0,1,0,0,159500
24261145,appartement,46.08656803,6.71709255,samoens,74340,128,1,,209,D,21,D,Sud,4,3,1,1,1,6,1,0,1,0,1,0,0,990000
